 drug_name,age_group,warning,severity,alternative,note
Prednisone Variant40,All,Can cause adrenal suppression and mood changes.,Medium,NSAIDs (short-term),Use only under strict medical advice.
Dexamethasone Variant41,<18,Long-term use can suppress growth and immune function in children.,Low,Ibuprofen,Use only when absolutely necessary.
Ciprofloxacin Variant42,<18,May impair cartilage development in children.,Medium,Amoxicillin,Use alternatives in pediatric cases.
Prednisone Variant43,<2 years,Can cause adrenal suppression and mood changes.,Moderate,NSAIDs (short-term),Use only under strict medical advice.
Hydroxyzine Variant44,Adult,Risk of QT prolongation and sedation.,Moderate,Loratadine,Use safer antihistamines in elderly.
Lorazepam Variant45,Pediatric,"Risk of falls, confusion, and sedation.",High,Melatonin,Try non-pharma methods for sleep first.
Dexamethasone Variant46,Adult,Long-term use can suppress growth and immune function in children.,Low,Ibuprofen,Use only when absolutely necessary.
Codeine Variant47,All,"Risk of respiratory depression, especially in ultra-rapid metabolizers.",Critical,Paracetamol,Not recommended for under 18.
Metoclopramide Variant48,Pediatric,Can cause extrapyramidal symptoms.,Moderate,Ondansetron,Limit duration of use.
Codeine Variant49,Elderly,"Risk of respiratory depression, especially in ultra-rapid metabolizers.",Moderate,Paracetamol,Not recommended for under 18.
Ciprofloxacin Variant50,All,May impair cartilage development in children.,Critical,Amoxicillin,Use alternatives in pediatric cases.
Chloramphenicol Variant51,All,May cause Gray Baby Syndrome.,Critical,Amoxicillin,Avoid in neonates.
Prednisone Variant52,Elderly,Can cause adrenal suppression and mood changes.,Low,NSAIDs (short-term),Use only under strict medical advice.
Chloramphenicol Variant53,<18,May cause Gray Baby Syndrome.,Medium,Amoxicillin,Avoid in neonates.
Aspirin Variant54,<18,Linked to Reye’s Syndrome in children.,Moderate,Paracetamol,Avoid unless prescribed by doctor.
Lorazepam Variant55,Neonates,"Risk of falls, confusion, and sedation.",Medium,Melatonin,Try non-pharma methods for sleep first.
Hydroxyzine Variant56,Elderly,Risk of QT prolongation and sedation.,Critical,Loratadine,Use safer antihistamines in elderly.
Aspirin Variant57,Adult,Linked to Reye’s Syndrome in children.,Moderate,Paracetamol,Avoid unless prescribed by doctor.
Promethazine Variant58,Pediatric,Risk of fatal respiratory depression.,Low,Saline Nebulizer,Never use in children under 2.
Codeine Variant59,<2 years,"Risk of respiratory depression, especially in ultra-rapid metabolizers.",Low,Paracetamol,Not recommended for under 18.
Metoclopramide Variant60,<18,Can cause extrapyramidal symptoms.,Critical,Ondansetron,Limit duration of use.
Aspirin Variant61,Neonates,Linked to Reye’s Syndrome in children.,High,Paracetamol,Avoid unless prescribed by doctor.
Promethazine Variant62,All,Risk of fatal respiratory depression.,Low,Saline Nebulizer,Never use in children under 2.
Prednisone Variant63,<2 years,Can cause adrenal suppression and mood changes.,Medium,NSAIDs (short-term),Use only under strict medical advice.
Lorazepam Variant64,Elderly,"Risk of falls, confusion, and sedation.",Medium,Melatonin,Try non-pharma methods for sleep first.
Ciprofloxacin Variant65,Neonates,May impair cartilage development in children.,Critical,Amoxicillin,Use alternatives in pediatric cases.
Ciprofloxacin Variant66,Pediatric,May impair cartilage development in children.,Moderate,Amoxicillin,Use alternatives in pediatric cases.
Hydroxyzine Variant67,<2 years,Risk of QT prolongation and sedation.,Low,Loratadine,Use safer antihistamines in elderly.
Prednisone Variant68,Adult,Can cause adrenal suppression and mood changes.,Medium,NSAIDs (short-term),Use only under strict medical advice.
Aspirin Variant69,Elderly,Linked to Reye’s Syndrome in children.,Medium,Paracetamol,Avoid unless prescribed by doctor.
Promethazine Variant70,Elderly,Risk of fatal respiratory depression.,High,Saline Nebulizer,Never use in children under 2.
Aspirin Variant71,All,Linked to Reye’s Syndrome in children.,Low,Paracetamol,Avoid unless prescribed by doctor.
Lorazepam Variant72,Elderly,"Risk of falls, confusion, and sedation.",Moderate,Melatonin,Try non-pharma methods for sleep first.
Codeine Variant73,All,"Risk of respiratory depression, especially in ultra-rapid metabolizers.",Medium,Paracetamol,Not recommended for under 18.
Aspirin Variant74,Elderly,Linked to Reye’s Syndrome in children.,Medium,Paracetamol,Avoid unless prescribed by doctor.
Promethazine Variant75,<18,Risk of fatal respiratory depression.,Moderate,Saline Nebulizer,Never use in children under 2.
Dexamethasone Variant76,Adult,Long-term use can suppress growth and immune function in children.,Low,Ibuprofen,Use only when absolutely necessary.
Metoclopramide Variant77,Neonates,Can cause extrapyramidal symptoms.,Medium,Ondansetron,Limit duration of use.
Codeine Variant78,<2 years,"Risk of respiratory depression, especially in ultra-rapid metabolizers.",Critical,Paracetamol,Not recommended for under 18.
Prednisone Variant79,Neonates,Can cause adrenal suppression and mood changes.,Moderate,NSAIDs (short-term),Use only under strict medical advice.
Dexamethasone Variant80,<2 years,Long-term use can suppress growth and immune function in children.,High,Ibuprofen,Use only when absolutely necessary.
Promethazine Variant81,All,Risk of fatal respiratory depression.,Low,Saline Nebulizer,Never use in children under 2.
Ciprofloxacin Variant82,All,May impair cartilage development in children.,High,Amoxicillin,Use alternatives in pediatric cases.
Chloramphenicol Variant83,Neonates,May cause Gray Baby Syndrome.,Low,Amoxicillin,Avoid in neonates.
Ciprofloxacin Variant84,Neonates,May impair cartilage development in children.,Low,Amoxicillin,Use alternatives in pediatric cases.
Promethazine Variant85,Pediatric,Risk of fatal respiratory depression.,Moderate,Saline Nebulizer,Never use in children under 2.
Hydroxyzine Variant86,<2 years,Risk of QT prolongation and sedation.,Critical,Loratadine,Use safer antihistamines in elderly.
Codeine Variant87,<2 years,"Risk of respiratory depression, especially in ultra-rapid metabolizers.",Moderate,Paracetamol,Not recommended for under 18.
Prednisone Variant88,Pediatric,Can cause adrenal suppression and mood changes.,Moderate,NSAIDs (short-term),Use only under strict medical advice.
Dexamethasone Variant89,All,Long-term use can suppress growth and immune function in children.,Low,Ibuprofen,Use only when absolutely necessary.
Metoclopramide Variant90,Neonates,Can cause extrapyramidal symptoms.,Critical,Ondansetron,Limit duration of use.
Aspirin Variant91,<18,Linked to Reye’s Syndrome in children.,Medium,Paracetamol,Avoid unless prescribed by doctor.
Lorazepam Variant92,All,"Risk of falls, confusion, and sedation.",Medium,Melatonin,Try non-pharma methods for sleep first.
Ciprofloxacin Variant93,Adult,May impair cartilage development in children.,High,Amoxicillin,Use alternatives in pediatric cases.
Prednisone Variant94,All,Can cause adrenal suppression and mood changes.,Medium,NSAIDs (short-term),Use only under strict medical advice.
Lorazepam Variant95,Neonates,"Risk of falls, confusion, and sedation.",Low,Melatonin,Try non-pharma methods for sleep first.
Codeine Variant96,Pediatric,"Risk of respiratory depression, especially in ultra-rapid metabolizers.",Moderate,Paracetamol,Not recommended for under 18.
Prednisone Variant97,Neonates,Can cause adrenal suppression and mood changes.,Critical,NSAIDs (short-term),Use only under strict medical advice.
Aspirin Variant98,<2 years,Linked to Reye’s Syndrome in children.,Low,Paracetamol,Avoid unless prescribed by doctor.
Metoclopramide Variant99,<2 years,Can cause extrapyramidal symptoms.,Low,Ondansetron,Limit duration of use.
Chloramphenicol Variant0,Elderly,May cause Gray Baby Syndrome.,Moderate,Amoxicillin,Avoid in neonates.
Promethazine Variant1,<18,Risk of fatal respiratory depression.,Low,Saline Nebulizer,Never use in children under 2.
Aspirin Variant2,Pediatric,Linked to Reye’s Syndrome in children.,High,Paracetamol,Avoid unless prescribed by doctor.
Aspirin Variant3,All,Linked to Reye’s Syndrome in children.,Low,Paracetamol,Avoid unless prescribed by doctor.
Ciprofloxacin Variant4,Neonates,May impair cartilage development in children.,Low,Amoxicillin,Use alternatives in pediatric cases.
Promethazine Variant5,All,Risk of fatal respiratory depression.,Critical,Saline Nebulizer,Never use in children under 2.
Ciprofloxacin Variant6,<2 years,May impair cartilage development in children.,Medium,Amoxicillin,Use alternatives in pediatric cases.
Prednisone Variant7,<18,Can cause adrenal suppression and mood changes.,High,NSAIDs (short-term),Use only under strict medical advice.
Codeine Variant8,Adult,"Risk of respiratory depression, especially in ultra-rapid metabolizers.",Low,Paracetamol,Not recommended for under 18.
Aspirin Variant9,<2 years,Linked to Reye’s Syndrome in children.,Critical,Paracetamol,Avoid unless prescribed by doctor.
Chloramphenicol Variant10,Elderly,May cause Gray Baby Syndrome.,Low,Amoxicillin,Avoid in neonates.
Lorazepam Variant11,Neonates,"Risk of falls, confusion, and sedation.",Moderate,Melatonin,Try non-pharma methods for sleep first.
Hydroxyzine Variant12,<18,Risk of QT prolongation and sedation.,Moderate,Loratadine,Use safer antihistamines in elderly.
Promethazine Variant13,Pediatric,Risk of fatal respiratory depression.,High,Saline Nebulizer,Never use in children under 2.
Promethazine Variant14,Pediatric,Risk of fatal respiratory depression.,Low,Saline Nebulizer,Never use in children under 2.
Metoclopramide Variant15,Neonates,Can cause extrapyramidal symptoms.,Critical,Ondansetron,Limit duration of use.
Prednisone Variant16,All,Can cause adrenal suppression and mood changes.,Critical,NSAIDs (short-term),Use only under strict medical advice.
Metoclopramide Variant17,<2 years,Can cause extrapyramidal symptoms.,Medium,Ondansetron,Limit duration of use.
Metoclopramide Variant18,<2 years,Can cause extrapyramidal symptoms.,Critical,Ondansetron,Limit duration of use.
Lorazepam Variant19,<2 years,"Risk of falls, confusion, and sedation.",High,Melatonin,Try non-pharma methods for sleep first.
Codeine Variant20,Adult,"Risk of respiratory depression, especially in ultra-rapid metabolizers.",Critical,Paracetamol,Not recommended for under 18.
Lorazepam Variant21,Elderly,"Risk of falls, confusion, and sedation.",High,Melatonin,Try non-pharma methods for sleep first.
Hydroxyzine Variant22,All,Risk of QT prolongation and sedation.,Medium,Loratadine,Use safer antihistamines in elderly.
Lorazepam Variant23,Elderly,"Risk of falls, confusion, and sedation.",Low,Melatonin,Try non-pharma methods for sleep first.
Chloramphenicol Variant24,All,May cause Gray Baby Syndrome.,Moderate,Amoxicillin,Avoid in neonates.
Chloramphenicol Variant25,Neonates,May cause Gray Baby Syndrome.,Low,Amoxicillin,Avoid in neonates.
Promethazine Variant26,<18,Risk of fatal respiratory depression.,Low,Saline Nebulizer,Never use in children under 2.
Lorazepam Variant27,<2 years,"Risk of falls, confusion, and sedation.",Moderate,Melatonin,Try non-pharma methods for sleep first.
Prednisone Variant28,Pediatric,Can cause adrenal suppression and mood changes.,Critical,NSAIDs (short-term),Use only under strict medical advice.
Chloramphenicol Variant29,Elderly,May cause Gray Baby Syndrome.,Critical,Amoxicillin,Avoid in neonates.
Hydroxyzine Variant30,All,Risk of QT prolongation and sedation.,Medium,Loratadine,Use safer antihistamines in elderly.
Lorazepam Variant31,All,"Risk of falls, confusion, and sedation.",Medium,Melatonin,Try non-pharma methods for sleep first.
Metoclopramide Variant32,<2 years,Can cause extrapyramidal symptoms.,High,Ondansetron,Limit duration of use.
Lorazepam Variant33,All,"Risk of falls, confusion, and sedation.",Medium,Melatonin,Try non-pharma methods for sleep first.
Aspirin Variant34,All,Linked to Reye’s Syndrome in children.,Medium,Paracetamol,Avoid unless prescribed by doctor.
Prednisone Variant35,All,Can cause adrenal suppression and mood changes.,Moderate,NSAIDs (short-term),Use only under strict medical advice.
Hydroxyzine Variant36,Neonates,Risk of QT prolongation and sedation.,High,Loratadine,Use safer antihistamines in elderly.
Aspirin Variant37,Elderly,Linked to Reye’s Syndrome in children.,High,Paracetamol,Avoid unless prescribed by doctor.
Lorazepam Variant38,Adult,"Risk of falls, confusion, and sedation.",Moderate,Melatonin,Try non-pharma methods for sleep first.
Lorazepam Variant39,<18,"Risk of falls, confusion, and sedation.",Low,Melatonin,Try non-pharma methods for sleep first.
Hydroxyzine Variant40,Elderly,Risk of QT prolongation and sedation.,Critical,Loratadine,Use safer antihistamines in elderly.
Lorazepam Variant41,All,"Risk of falls, confusion, and sedation.",Critical,Melatonin,Try non-pharma methods for sleep first.
Codeine Variant42,<2 years,"Risk of respiratory depression, especially in ultra-rapid metabolizers.",Medium,Paracetamol,Not recommended for under 18.
Promethazine Variant43,Pediatric,Risk of fatal respiratory depression.,High,Saline Nebulizer,Never use in children under 2.
Ciprofloxacin Variant44,<2 years,May impair cartilage development in children.,Moderate,Amoxicillin,Use alternatives in pediatric cases.
Prednisone Variant45,<18,Can cause adrenal suppression and mood changes.,Medium,NSAIDs (short-term),Use only under strict medical advice.
Metoclopramide Variant46,<2 years,Can cause extrapyramidal symptoms.,Moderate,Ondansetron,Limit duration of use.
Ciprofloxacin Variant47,<2 years,May impair cartilage development in children.,Low,Amoxicillin,Use alternatives in pediatric cases.
Chloramphenicol Variant48,All,May cause Gray Baby Syndrome.,Moderate,Amoxicillin,Avoid in neonates.
Dexamethasone Variant49,Elderly,Long-term use can suppress growth and immune function in children.,Low,Ibuprofen,Use only when absolutely necessary.
Promethazine Variant50,Neonates,Risk of fatal respiratory depression.,High,Saline Nebulizer,Never use in children under 2.
